prefix,Code,Description
Icd10Code,N085,Glomerular disorders in systemic connective tissue disorders
Icd10Code,N088,Glomerular disorders in other diseases classified elsewhere
Icd10Code,N10,Acute tubulo-interstitial nephritis
Icd10Code,N11,Chronic tubulo-interstitial nephritis
Icd10Code,N110,Nonobstructive reflux-associated chronic pyelonephritis
Icd10Code,N111,Chronic obstructive pyelonephritis
Icd10Code,N118,Other chronic tubulo-interstitial nephritis
Icd10Code,N119,"Chronic tubulo-interstitial nephritis, unspecified"
Icd10Code,N12,"Tubulo-interstitial nephritis, not specified as acute or chronic"
Icd10Code,N13,Obstructive and reflux uropathy
Icd10Code,N130,Hydronephrosis with ureteropelvic junction obstruction
Icd10Code,N131,"Hydronephrosis with ureteral stricture, not elsewhere classified"
Icd10Code,N132,Hydronephrosis with renal and ureteral calculous obstruction
Icd10Code,N133,Other and unspecified hydronephrosis
Icd10Code,N134,Hydroureter
Icd10Code,N135,Kinking and stricture of ureter without hydronephrosis
Icd10Code,N136,Pyonephrosis
Icd10Code,N137,Vesicoureteral-reflux-associated uropathy
Icd10Code,N138,Other obstructive and reflux uropathy
Icd10Code,N139,"Obstructive and reflux uropathy, unspecified"
Icd10Code,N14,Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions
Icd10Code,N140,Analgesic nephropathy
Icd10Code,N141,"Nephropathy induced by other drugs, medicaments and biological substances"
Icd10Code,N142,"Nephropathy induced by unspecified drug, medicament or biological substance"
Icd10Code,N143,Nephropathy induced by heavy metals
Icd10Code,N144,"Toxic nephropathy, not elsewhere classified"
Icd10Code,N15,Other renal tubulo-interstitial diseases
Icd10Code,N150,Balkan nephropathy
Icd10Code,N151,Renal and perinephric abscess
Icd10Code,N158,Other specified renal tubulo-interstitial diseases
Icd10Code,N159,"Renal tubulo-interstitial disease, unspecified"
Icd10Code,N16,Renal tubulo-interstitial disorders in diseases classified elsewhere
Icd10Code,N160,Renal tubulo-interstitial disorders in infectious and parasitic diseases classified elsewhere
Icd10Code,N161,Renal tubulo-interstitial disorders in neoplastic diseases
Icd10Code,N162,Renal tubulo-interstitial disorders in blood diseases and disorders involving the immune mechanism
Icd10Code,N163,Renal tubulo-interstitial disorders in metabolic diseases
Icd10Code,N164,Renal tubulo-interstitial disorders in systemic connective tissue disorders
Icd10Code,N165,Renal tubulo-interstitial disorders in transplant rejection
Icd10Code,N168,Renal tubulo-interstitial disorders in other diseases classified elsewhere
Icd10Code,N17,Acute renal failure
Icd10Code,N170,Acute renal failure with tubular necrosis
Icd10Code,N171,Acute renal failure with acute cortical necrosis
Icd10Code,N172,Acute renal failure with medullary necrosis
Icd10Code,N178,Other acute renal failure
Icd10Code,N179,"Acute renal failure, unspecified"
Icd10Code,N18,Chronic kidney disease
Icd10Code,N181,"Chronic kidney disease, stage 1"
Icd10Code,N182,"Chronic kidney disease, stage 2"
Icd10Code,N183,"Chronic kidney disease, stage 3"
Icd10Code,N184,"Chronic kidney disease, stage 4"
Icd10Code,N185,"Chronic kidney disease, stage 5"
Icd10Code,N189,"Chronic kidney disease, unspecified"
Icd10Code,N19,Unspecified kidney failure
Icd10Code,N20,Calculus of kidney and ureter
Icd10Code,N200,Calculus of kidney
Icd10Code,N201,Calculus of ureter
Icd10Code,N202,Calculus of kidney with calculus of ureter
Icd10Code,N209,"Urinary calculus, unspecified"
Icd10Code,N21,Calculus of lower urinary tract
Icd10Code,N210,Calculus in bladder
Icd10Code,N211,Calculus in urethra
Icd10Code,N218,Other lower urinary tract calculus
Icd10Code,N219,"Calculus of lower urinary tract, unspecified"
Icd10Code,N22,Calculus of urinary tract in diseases classified elsewhere
Icd10Code,N220,Urinary calculus in schistosomiasis [bilharziasis]
Icd10Code,N228,Calculus of urinary tract in other diseases classified elsewhere
Icd10Code,N23,Unspecified renal colic
Icd10Code,N25,Disorders resulting from impaired renal tubular function
Icd10Code,N250,Renal osteodystrophy
Icd10Code,N251,Nephrogenic diabetes insipidus
Icd10Code,N258,Other disorders resulting from impaired renal tubular function
Icd10Code,N259,"Disorder resulting from impaired renal tubular function, unspecified"
Icd10Code,N26,Unspecified contracted kidney
Icd10Code,N27,Small kidney of unknown cause
Icd10Code,N270,"Small kidney, unilateral"
Icd10Code,N271,"Small kidney, bilateral"
Icd10Code,N279,"Small kidney, unspecified"
Icd10Code,N28,"Other disorders of kidney and ureter, not elsewhere classified"
Icd10Code,N280,Ischaemia and infarction of kidney
Icd10Code,N281,"Cyst of kidney, acquired"
Icd10Code,N288,Other specified disorders of kidney and ureter
Icd10Code,N289,"Disorder of kidney and ureter, unspecified"
Icd10Code,N29,Other disorders of kidney and ureter in diseases classified elsewhere
Icd10Code,N290,Late syphilis of kidney
Icd10Code,N291,Other disorders of kidney and ureter in infectious and parasitic diseases classified elsewhere
Icd10Code,N298,Other disorders of kidney and ureter in other diseases classified elsewhere
Icd10Code,N30,Cystitis
Icd10Code,N300,Acute cystitis
Icd10Code,N301,Interstitial cystitis (chronic)
Icd10Code,N302,Other chronic cystitis
Icd10Code,N303,Trigonitis
Icd10Code,N304,Irradiation cystitis
Icd10Code,N308,Other cystitis
Icd10Code,N309,"Cystitis, unspecified"
Icd10Code,N31,"Neuromuscular dysfunction of bladder, not elsewhere classified"
Icd10Code,N310,"Uninhibited neuropathic bladder, not elsewhere classified"
Icd10Code,N311,"Reflex neuropathic bladder, not elsewhere classified"
Icd10Code,N312,"Flaccid neuropathic bladder, not elsewhere classified"
Icd10Code,N318,Other neuromuscular dysfunction of bladder
Icd10Code,N319,"Neuromuscular dysfunction of bladder, unspecified"
Icd10Code,N32,Other disorders of bladder
Icd10Code,N320,Bladder-neck obstruction
Icd10Code,N321,Vesicointestinal fistula
Icd10Code,N322,"Vesical fistula, not elsewhere classified"
Icd10Code,N323,Diverticulum of bladder
Icd10Code,N324,"Rupture of bladder, nontraumatic"
Icd10Code,N328,Other specified disorders of bladder
Icd10Code,N329,"Bladder disorder, unspecified"
Icd10Code,N33,Bladder disorders in diseases classified elsewhere
Icd10Code,N330,Tuberculous cystitis
Icd10Code,N338,Bladder disorders in other diseases classified elsewhere
Icd10Code,N34,Urethritis and urethral syndrome
Icd10Code,N340,Urethral abscess
Icd10Code,N341,Nonspecific urethritis
Icd10Code,N342,Other urethritis
Icd10Code,N343,"Urethral syndrome, unspecified"
Icd10Code,N35,Urethral stricture
Icd10Code,N350,Post-traumatic urethral stricture
Icd10Code,N351,"Postinfective urethral stricture, not elsewhere classified"
Icd10Code,N358,Other urethral stricture
Icd10Code,N359,"Urethral stricture, unspecified"
Icd10Code,N36,Other disorders of urethra
Icd10Code,N360,Urethral fistula
Icd10Code,N361,Urethral diverticulum
Icd10Code,N362,Urethral caruncle
Icd10Code,N363,Prolapsed urethral mucosa
Icd10Code,N368,Other specified disorders of urethra
Icd10Code,N369,"Urethral disorder, unspecified"
Icd10Code,N37,Urethral disorders in diseases classified elsewhere
Icd10Code,N370,Urethritis in diseases classified elsewhere
Icd10Code,N378,Other urethral disorders in diseases classified elsewhere
Icd10Code,N39,Other disorders of urinary system
Icd10Code,N390,"Urinary tract infection, site not specified"
Icd10Code,N391,"Persistent proteinuria, unspecified"
Icd10Code,N392,"Orthostatic proteinuria, unspecified"
Icd10Code,N393,Stress incontinence
Icd10Code,N394,Other specified urinary incontinence
Icd10Code,N398,Other specified disorders of urinary system
Icd10Code,N399,"Disorder of urinary system, unspecified"
Icd10Code,N40,Hyperplasia of prostate
Icd10Code,N41,Inflammatory diseases of prostate
Icd10Code,N410,Acute prostatitis
Icd10Code,N411,Chronic prostatitis
Icd10Code,N412,Abscess of prostate
Icd10Code,N413,Prostatocystitis
Icd10Code,N418,Other inflammatory diseases of prostate
Icd10Code,N419,"Inflammatory disease of prostate, unspecified"
Icd10Code,N42,Other disorders of prostate
Icd10Code,N420,Calculus of prostate
Icd10Code,N421,Congestion and haemorrhage of prostate
Icd10Code,N422,Atrophy of prostate
Icd10Code,N423,Dysplasia of prostate
Icd10Code,N428,Other specified disorders of prostate
Icd10Code,N429,"Disorder of prostate, unspecified"
Icd10Code,N43,Hydrocele and spermatocele
Icd10Code,N430,Encysted hydrocele
Icd10Code,N431,Infected hydrocele
Icd10Code,N432,Other hydrocele
Icd10Code,N433,"Hydrocele, unspecified"
Icd10Code,N434,Spermatocele
Icd10Code,N44,Torsion of testis
Icd10Code,N45,Orchitis and epididymitis
Icd10Code,N450,"Orchitis, epididymitis and epididymo-orchitis with abscess"
Icd10Code,N459,"Orchitis, epididymitis and epididymo-orchitis without abscess"
Icd10Code,N46,Male infertility
Icd10Code,N47,"Redundant prepuce, phimosis and paraphimosis"
Icd10Code,N48,Other disorders of penis
Icd10Code,N480,Leukoplakia of penis
Icd10Code,N481,Balanoposthitis
Icd10Code,N482,Other inflammatory disorders of penis
Icd10Code,N483,Priapism
Icd10Code,N484,Impotence of organic origin
Icd10Code,N485,Ulcer of penis
Icd10Code,N486,Induratio penis plastica
Icd10Code,N488,Other specified disorders of penis
Icd10Code,N489,"Disorder of penis, unspecified"
Icd10Code,N49,"Inflammatory disorders of male genital organs, not elsewhere classified"
Icd10Code,N490,Inflammatory disorders of seminal vesicle
Icd10Code,N491,"Inflammatory disorders of spermatic cord, tunica vaginalis and vas deferens"
Icd10Code,N492,Inflammatory disorders of scrotum
Icd10Code,N498,Inflammatory disorders of other specified male genital organs
Icd10Code,N499,Inflammatory disorder of unspecified male genital organ
Icd10Code,N50,Other disorders of male genital organs
Icd10Code,N500,Atrophy of testis
Icd10Code,N501,Vascular disorders of male genital organs
Icd10Code,N508,Other specified disorders of male genital organs
Icd10Code,N509,"Disorder of male genital organs, unspecified"
Icd10Code,N51,Disorders of male genital organs in diseases classified elsewhere
Icd10Code,N510,Disorders of prostate in diseases classified elsewhere
Icd10Code,N511,Disorders of testis and epididymis in diseases classified elsewhere
Icd10Code,N512,Balanitis in diseases classified elsewhere
Icd10Code,N518,Other disorders of male genital organs in diseases classified elsewhere
Icd10Code,N60,Benign mammary dysplasia
Icd10Code,N600,Solitary cyst of breast
Icd10Code,N601,Diffuse cystic mastopathy
Icd10Code,N602,Fibroadenosis of breast
Icd10Code,N603,Fibrosclerosis of breast
Icd10Code,N604,Mammary duct ectasia
Icd10Code,N608,Other benign mammary dysplasias
Icd10Code,N609,"Benign mammary dysplasia, unspecified"
Icd10Code,N61,Inflammatory disorders of breast
Icd10Code,N62,Hypertrophy of breast
Icd10Code,N63,Unspecified lump in breast
Icd10Code,N64,Other disorders of breast
Icd10Code,N640,Fissure and fistula of nipple
Icd10Code,N641,Fat necrosis of breast
Icd10Code,N642,Atrophy of breast
Icd10Code,N643,Galactorrhoea not associated with childbirth
Icd10Code,N644,Mastodynia
Icd10Code,N645,Other signs and symptoms in breast
Icd10Code,N648,Other specified disorders of breast
Icd10Code,N649,"Disorder of breast, unspecified"
Icd10Code,N70,Salpingitis and oophoritis
Icd10Code,N700,Acute salpingitis and oophoritis
Icd10Code,N701,Chronic salpingitis and oophoritis
Icd10Code,N709,"Salpingitis and oophoritis, unspecified"
Icd10Code,N71,"Inflammatory disease of uterus, except cervix"
Icd10Code,N710,Acute inflammatory disease of uterus
Icd10Code,N711,Chronic inflammatory disease of uterus
Icd10Code,N719,"Inflammatory disease of uterus, unspecified"
Icd10Code,N72,Inflammatory disease of cervix uteri
Icd10Code,N73,Other female pelvic inflammatory diseases
Icd10Code,N730,Acute parametritis and pelvic cellulitis
Icd10Code,N731,Chronic parametritis and pelvic cellulitis
Icd10Code,N732,Unspecified parametritis and pelvic cellulitis
Icd10Code,N733,Female acute pelvic peritonitis
Icd10Code,N734,Female chronic pelvic peritonitis
Icd10Code,N735,"Female pelvic peritonitis, unspecified"
Icd10Code,N736,Female pelvic peritoneal adhesions
Icd10Code,N738,Other specified female pelvic inflammatory diseases
Icd10Code,N739,"Female pelvic inflammatory disease, unspecified"
Icd10Code,N74,Female pelvic inflammatory disorders in diseases classified elsewhere
Icd10Code,N740,Tuberculous infection of cervix uteri
Icd10Code,N741,Female tuberculous pelvic inflammatory disease
Icd10Code,N742,Female syphilitic pelvic inflammatory disease
Icd10Code,N743,Female gonococcal pelvic inflammatory disease
Icd10Code,N744,Female chlamydial pelvic inflammatory disease
Icd10Code,N748,Female pelvic inflammatory disorders in other diseases classified elsewhere
Icd10Code,N75,Diseases of Bartholin gland
Icd10Code,N750,Cyst of Bartholin gland
Icd10Code,N751,Abscess of Bartholin gland
Icd10Code,N758,Other diseases of Bartholin gland
Icd10Code,N759,"Disease of Bartholin gland, unspecified"
Icd10Code,N76,Other inflammation of vagina and vulva
Icd10Code,N760,Acute vaginitis
Icd10Code,N761,Subacute and chronic vaginitis
Icd10Code,N762,Acute vulvitis
Icd10Code,N763,Subacute and chronic vulvitis
Icd10Code,N764,Abscess of vulva
Icd10Code,N765,Ulceration of vagina
Icd10Code,N766,Ulceration of vulva
Icd10Code,N768,Other specified inflammation of vagina and vulva
Icd10Code,N77,Vulvovaginal ulceration and inflammation in diseases classified elsewhere
Icd10Code,N770,Ulceration of vulva in infectious and parasitic diseases classified elsewhere
Icd10Code,N771,"Vaginitis, vulvitis and vulvovaginitis in infectious and parasitic diseases classified elsewhere"
Icd10Code,N778,Vulvovaginal ulceration and inflammation in other diseases classified elsewhere
Icd10Code,N80,Endometriosis
Icd10Code,N800,Endometriosis of uterus
Icd10Code,N801,Endometriosis of ovary
Icd10Code,N802,Endometriosis of fallopian tube
Icd10Code,N803,Endometriosis of pelvic peritoneum
Icd10Code,N804,Endometriosis of rectovaginal septum and vagina
Icd10Code,N805,Endometriosis of intestine
Icd10Code,N806,Endometriosis in cutaneous scar
Icd10Code,N808,Other endometriosis
Icd10Code,N809,"Endometriosis, unspecified"
Icd10Code,N81,Female genital prolapse
Icd10Code,N810,Female urethrocele
Icd10Code,N811,Cystocele
Icd10Code,N812,Incomplete uterovaginal prolapse
Icd10Code,N813,Complete uterovaginal prolapse
Icd10Code,N814,"Uterovaginal prolapse, unspecified"
Icd10Code,N815,Vaginal enterocele
Icd10Code,N816,Rectocele
Icd10Code,N818,Other female genital prolapse
Icd10Code,N819,"Female genital prolapse, unspecified"
Icd10Code,N82,Fistulae involving female genital tract
Icd10Code,N820,Vesicovaginal fistula
Icd10Code,N821,Other female urinary-genital tract fistulae
Icd10Code,N822,Fistula of vagina to small intestine
Icd10Code,N823,Fistula of vagina to large intestine
Icd10Code,N824,Other female intestinal-genital tract fistulae
Icd10Code,N825,Female genital tract-skin fistulae
Icd10Code,N828,Other female genital tract fistulae
Icd10Code,N829,"Female genital tract fistula, unspecified"
Icd10Code,N83,"Noninflammatory disorders of ovary, fallopian tube and broad ligament"
Icd10Code,N830,Follicular cyst of ovary
Icd10Code,N831,Corpus luteum cyst
Icd10Code,N832,Other and unspecified ovarian cysts
Icd10Code,N833,Acquired atrophy of ovary and fallopian tube
Icd10Code,N834,Prolapse and hernia of ovary and fallopian tube
Icd10Code,N835,"Torsion of ovary, ovarian pedicle and fallopian tube"
Icd10Code,N836,Haematosalpinx
Icd10Code,N837,Haematoma of broad ligament
Icd10Code,N838,"Other noninflammatory disorders of ovary, fallopian tube and broad ligament"
Icd10Code,N839,"Noninflammatory disorder of ovary, fallopian tube and broad ligament, unspecified"
Icd10Code,N84,Polyp of female genital tract
Icd10Code,N840,Polyp of corpus uteri
Icd10Code,N841,Polyp of cervix uteri
Icd10Code,N842,Polyp of vagina
Icd10Code,N843,Polyp of vulva
Icd10Code,N848,Polyp of other parts of female genital tract
Icd10Code,N849,"Polyp of female genital tract, unspecified"
Icd10Code,N85,"Other noninflammatory disorders of uterus, except cervix"
Icd10Code,N850,Endometrial glandular hyperplasia
Icd10Code,N851,Endometrial adenomatous hyperplasia
Icd10Code,N852,Hypertrophy of uterus
Icd10Code,N853,Subinvolution of uterus
Icd10Code,N854,Malposition of uterus
Icd10Code,N855,Inversion of uterus
Icd10Code,N856,Intrauterine synechiae
Icd10Code,N857,Haematometra
Icd10Code,N858,Other specified noninflammatory disorders of uterus
Icd10Code,N859,"Noninflammatory disorder of uterus, unspecified"
Icd10Code,N86,Erosion and ectropion of cervix uteri
Icd10Code,N87,Dysplasia of cervix uteri
Icd10Code,N870,Mild cervical dysplasia
Icd10Code,N871,Moderate cervical dysplasia
Icd10Code,N872,"Severe cervical dysplasia, not elsewhere classified"
Icd10Code,N879,"Dysplasia of cervix uteri, unspecified"
Icd10Code,N88,Other noninflammatory disorders of cervix uteri
Icd10Code,N880,Leukoplakia of cervix uteri
Icd10Code,N881,Old laceration of cervix uteri
Icd10Code,N882,Stricture and stenosis of cervix uteri
Icd10Code,N883,Incompetence of cervix uteri
Icd10Code,N884,Hypertrophic elongation of cervix uteri
Icd10Code,N888,Other specified noninflammatory disorders of cervix uteri
Icd10Code,N889,"Noninflammatory disorder of cervix uteri, unspecified"
Icd10Code,N89,Other noninflammatory disorders of vagina
Icd10Code,N890,Mild vaginal dysplasia
Icd10Code,N891,Moderate vaginal dysplasia
Icd10Code,N892,"Severe vaginal dysplasia, not elsewhere classified"
Icd10Code,N893,"Dysplasia of vagina, unspecified"
Icd10Code,N894,Leukoplakia of vagina
Icd10Code,N895,Stricture and atresia of vagina
Icd10Code,N896,Tight hymenal ring
Icd10Code,N897,Haematocolpos
Icd10Code,N898,Other specified noninflammatory disorders of vagina
Icd10Code,N899,"Noninflammatory disorder of vagina, unspecified"
Icd10Code,N90,Other noninflammatory disorders of vulva and perineum
Icd10Code,N900,Mild vulvar dysplasia
Icd10Code,N901,Moderate vulvar dysplasia
Icd10Code,N902,"Severe vulvar dysplasia, not elsewhere classified"
Icd10Code,N903,"Dysplasia of vulva, unspecified"
Icd10Code,N904,Leukoplakia of vulva
Icd10Code,N905,Atrophy of vulva
Icd10Code,N906,Hypertrophy of vulva
Icd10Code,N907,Vulvar cyst
Icd10Code,N908,Other specified noninflammatory disorders of vulva and perineum
Icd10Code,N909,"Noninflammatory disorder of vulva and perineum, unspecified"
Icd10Code,N91,"Absent, scanty and rare menstruation"
Icd10Code,N910,Primary amenorrhoea
Icd10Code,N911,Secondary amenorrhoea
Icd10Code,N912,"Amenorrhoea, unspecified"
Icd10Code,N913,Primary oligomenorrhoea
Icd10Code,N914,Secondary oligomenorrhoea
Icd10Code,N915,"Oligomenorrhoea, unspecified"
Icd10Code,N92,"Excessive, frequent and irregular menstruation"
Icd10Code,N920,Excessive and frequent menstruation with regular cycle
Icd10Code,N921,Excessive and frequent menstruation with irregular cycle
Icd10Code,N922,Excessive menstruation at puberty
Icd10Code,N923,Ovulation bleeding
Icd10Code,N924,Excessive bleeding in the premenopausal period
Icd10Code,N925,Other specified irregular menstruation
Icd10Code,N926,"Irregular menstruation, unspecified"
Icd10Code,N93,Other abnormal uterine and vaginal bleeding
Icd10Code,N930,Postcoital and contact bleeding
Icd10Code,N938,Other specified abnormal uterine and vaginal bleeding
Icd10Code,N939,"Abnormal uterine and vaginal bleeding, unspecified"
Icd10Code,N94,Pain and other conditions associated with female genital organs and menstrual cycle
Icd10Code,N940,Mittelschmerz
Icd10Code,N941,Dyspareunia
Icd10Code,N942,Vaginismus
Icd10Code,N943,Premenstrual tension syndrome
Icd10Code,N944,Primary dysmenorrhoea
Icd10Code,N945,Secondary dysmenorrhoea
Icd10Code,N946,"Dysmenorrhoea, unspecified"
Icd10Code,N948,Other specified conditions associated with female genital organs and menstrual cycle
Icd10Code,N949,Unspecified condition associated with female genital organs and menstrual cycle
Icd10Code,N95,Menopausal and other perimenopausal disorders
Icd10Code,N950,Postmenopausal bleeding
Icd10Code,N951,Menopausal and female climacteric states
Icd10Code,N952,Postmenopausal atrophic vaginitis
Icd10Code,N953,States associated with artificial menopause
Icd10Code,N958,Other specified menopausal and perimenopausal disorders
Icd10Code,N959,"Menopausal and perimenopausal disorder, unspecified"
Icd10Code,N96,Habitual aborter
Icd10Code,N97,Female infertility
Icd10Code,N970,Female infertility associated with anovulation
Icd10Code,N971,Female infertility of tubal origin
Icd10Code,N972,Female infertility of uterine origin
Icd10Code,N973,Female infertility of cervical origin
Icd10Code,N974,Female infertility associated with male factors
Icd10Code,N978,Female infertility of other origin
Icd10Code,N979,"Female infertility, unspecified"
Icd10Code,N98,Complications associated with artificial fertilization
Icd10Code,N980,Infection associated with artificial insemination
Icd10Code,N981,Hyperstimulation of ovaries
Icd10Code,N982,Complications of attempted introduction of fertilized ovum following in vitro fertilization
Icd10Code,N983,Complications of attempted introduction of embryo in embryo transfer
Icd10Code,N988,Other complications associated with artificial fertilization
Icd10Code,N989,"Complication associated with artificial fertilization, unspecified"
Icd10Code,N99,"Postprocedural disorders of genitourinary system, not elsewhere classified"
Icd10Code,N990,Postprocedural renal failure
Icd10Code,N991,Postprocedural urethral stricture
Icd10Code,N992,Postoperative adhesions of vagina
Icd10Code,N993,Prolapse of vaginal vault after hysterectomy
Icd10Code,N994,Postprocedural pelvic peritoneal adhesions
Icd10Code,N995,Malfunction of external stoma of urinary tract
Icd10Code,N998,Other postprocedural disorders of genitourinary system
Icd10Code,N999,"Postprocedural disorder of genitourinary system, unspecified"
Icd10Code,O00,Ectopic pregnancy
Icd10Code,O000,Abdominal pregnancy
Icd10Code,O001,Tubal pregnancy
Icd10Code,O002,Ovarian pregnancy
Icd10Code,O008,Other ectopic pregnancy
Icd10Code,O009,"Ectopic pregnancy, unspecified"
Icd10Code,O01,Hydatidiform mole
Icd10Code,O010,Classical hydatidiform mole
Icd10Code,O011,Incomplete and partial hydatidiform mole
Icd10Code,O019,"Hydatidiform mole, unspecified"
Icd10Code,O02,Other abnormal products of conception
Icd10Code,O020,Blighted ovum and nonhydatidiform mole
Icd10Code,O021,Missed abortion
Icd10Code,O028,Other specified abnormal products of conception
Icd10Code,O029,"Abnormal product of conception, unspecified"
Icd10Code,O03,Spontaneous abortion
Icd10Code,O030,"Spontaneous abortion: Incomplete, complicated by genital tract and pelvic infection"
Icd10Code,O031,"Spontaneous abortion: Incomplete, complicated by delayed or excessive haemorrhage"
Icd10Code,O032,"Spontaneous abortion: Incomplete, complicated by embolism"
Icd10Code,O033,"Spontaneous abortion: Incomplete, with other and unspecified complications"
Icd10Code,O034,"Spontaneous abortion: Incomplete, without complication"
Icd10Code,O035,"Spontaneous abortion: Complete or unspecified, complicated by genital tract and pelvic infection"
Icd10Code,O036,"Spontaneous abortion: Complete or unspecified, complicated by delayed or excessive haemorrhage"
Icd10Code,O037,"Spontaneous abortion: Complete or unspecified, complicated by embolism"
Icd10Code,O038,"Spontaneous abortion: Complete or unspecified, with other and unspecified complications"
Icd10Code,O039,"Spontaneous abortion: Complete or unspecified, without complication"
Icd10Code,O04,Medical abortion
Icd10Code,O040,"Medical abortion: Incomplete, complicated by genital tract and pelvic infection"
Icd10Code,O041,"Medical abortion: Incomplete, complicated by delayed or excessive haemorrhage"
Icd10Code,O042,"Medical abortion: Incomplete, complicated by embolism"
Icd10Code,O043,"Medical abortion: Incomplete, with other and unspecified complications"
Icd10Code,O044,"Medical abortion: Incomplete, without complication"
Icd10Code,O045,"Medical abortion: Complete or unspecified, complicated by genital tract and pelvic infection"
Icd10Code,O046,"Medical abortion: Complete or unspecified, complicated by delayed or excessive haemorrhage"
Icd10Code,O047,"Medical abortion: Complete or unspecified, complicated by embolism"
Icd10Code,O048,"Medical abortion: Complete or unspecified, with other and unspecified complications"
Icd10Code,O049,"Medical abortion: Complete or unspecified, without complication"
Icd10Code,O05,Other abortion
Icd10Code,O050,"Other abortion: Incomplete, complicated by genital tract and pelvic infection"
Icd10Code,O051,"Other abortion: Incomplete, complicated by delayed or excessive haemorrhage"
Icd10Code,O052,"Other abortion: Incomplete, complicated by embolism"
Icd10Code,O053,"Other abortion: Incomplete, with other and unspecified complications"
Icd10Code,O054,"Other abortion: Incomplete, without complication"
Icd10Code,O055,"Other abortion: Complete or unspecified, complicated by genital tract and pelvic infection"
Icd10Code,O056,"Other abortion: Complete or unspecified, complicated by delayed or excessive haemorrhage"
Icd10Code,O057,"Other abortion: Complete or unspecified, complicated by embolism"
Icd10Code,O058,"Other abortion: Complete or unspecified, with other and unspecified complications"
Icd10Code,O059,"Other abortion: Complete or unspecified, without complication"
Icd10Code,O06,Unspecified abortion
Icd10Code,O060,"Unspecified abortion: Incomplete, complicated by genital tract and pelvic infection"
Icd10Code,O061,"Unspecified abortion: Incomplete, complicated by delayed or excessive haemorrhage"
Icd10Code,O062,"Unspecified abortion: Incomplete, complicated by embolism"
Icd10Code,O063,"Unspecified abortion: Incomplete, with other and unspecified complications"
Icd10Code,O064,"Unspecified abortion: Incomplete, without complication"
Icd10Code,O065,"Unspecified abortion: Complete or unspecified, complicated by genital tract and pelvic infection"
Icd10Code,O066,"Unspecified abortion: Complete or unspecified, complicated by delayed or excessive haemorrhage"
Icd10Code,O067,"Unspecified abortion: Complete or unspecified, complicated by embolism"
Icd10Code,O068,"Unspecified abortion: Complete or unspecified, with other and unspecified complications"
Icd10Code,O069,"Unspecified abortion: Complete or unspecified, without complication"
Icd10Code,O07,Failed attempted abortion
Icd10Code,O070,"Failed medical abortion, complicated by genital tract and pelvic infection"
Icd10Code,O071,"Failed medical abortion, complicated by delayed or excessive haemorrhage"
Icd10Code,O072,"Failed medical abortion, complicated by embolism"
Icd10Code,O073,"Failed medical abortion, with other and unspecified complications"
Icd10Code,O074,"Failed medical abortion, without complication"
Icd10Code,O075,"Other and unspecified failed attempted abortion, complicated by genital tract and pelvic infection"
Icd10Code,O076,"Other and unspecified failed attempted abortion, complicated by delayed or excessive haemorrhage"
Icd10Code,O077,"Other and unspecified failed attempted abortion, complicated by embolism"
Icd10Code,O078,"Other and unspecified failed attempted abortion, with other and unspecified complications"
Icd10Code,O079,"Other and unspecified failed attempted abortion, without complication"
Icd10Code,O08,Complications following abortion and ectopic and molar pregnancy
Icd10Code,O080,Genital tract and pelvic infection following abortion and ectopic and molar pregnancy
Icd10Code,O081,Delayed or excessive haemorrhage following abortion and ectopic and molar pregnancy
Icd10Code,O082,Embolism following abortion and ectopic and molar pregnancy
Icd10Code,O083,Shock following abortion and ectopic and molar pregnancy
Icd10Code,O084,Renal failure following abortion and ectopic and molar pregnancy
Icd10Code,O085,Metabolic disorders following abortion and ectopic and molar pregnancy
Icd10Code,O086,Damage to pelvic organs and tissues following abortion and ectopic and molar pregnancy
Icd10Code,O087,Other venous complications following abortion and ectopic and molar pregnancy
Icd10Code,O088,Other complications following abortion and ectopic and molar pregnancy
Icd10Code,O089,"Complication following abortion and ectopic and molar pregnancy, unspecified"
Icd10Code,O10,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium"
Icd10Code,O100,"Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium"
Icd10Code,O101,"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium"
Icd10Code,O102,"Pre-existing hypertensive renal disease complicating pregnancy, childbirth and the puerperium"
Icd10Code,O103,"Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium"
Icd10Code,O104,"Pre-existing secondary hypertension complicating pregnancy, childbirth and the puerperium"
Icd10Code,O109,"Unspecified pre-existing hypertension complicating pregnancy, childbirth and the puerperium"
Icd10Code,O11,Pre-existing hypertensive disorder with superimposed proteinuria
Icd10Code,O12,Gestational [pregnancy-induced] oedema and proteinuria without hypertension
Icd10Code,O120,Gestational oedema
Icd10Code,O121,Gestational proteinuria
Icd10Code,O122,Gestational oedema with proteinuria
Icd10Code,O13,Gestational [pregnancy-induced] hypertension without significant proteinuria
Icd10Code,O14,Gestational [pregnancy-induced] hypertension with significant proteinuria
Icd10Code,O140,Moderate pre-eclampsia
Icd10Code,O141,Severe pre-eclampsia
Icd10Code,O142,HELLP syndrome
Icd10Code,O149,"Pre-eclampsia, unspecified"
Icd10Code,O15,Eclampsia
